unique_id,ds,y,Production,Nuclear,Wind,Hydroelectric,Oil and Gas,Coal,Solar,Biomass
electricity_consumption,2019-01-01,5957.666666666667,5924.416666666667,1391.75,343.5833333333333,1285.875,1418.0,1408.7083333333333,43.291666666666664,32.791666666666664
electricity_consumption,2019-01-02,6322.041666666667,6795.708333333333,1390.8333333333333,1106.75,1252.7083333333333,1615.1666666666667,1340.625,53.333333333333336,35.75
electricity_consumption,2019-01-03,7254.083333333333,7202.25,1372.0416666666667,989.2916666666666,1477.2083333333333,1822.1666666666667,1467.7083333333333,33.333333333333336,39.833333333333336
electricity_consumption,2019-01-04,7635.083333333333,7988.5,1371.4166666666667,1854.5833333333333,1411.8333333333333,1742.0,1519.5416666666667,45.5,43.25
electricity_consumption,2019-01-05,7379.75,6836.208333333333,1393.3333333333333,629.5,1212.0416666666667,1839.9166666666667,1626.2916666666667,92.75,42.0
electricity_consumption,2019-01-06,7005.875,7061.75,1396.0,1391.2083333333333,1072.125,1604.2916666666667,1527.375,23.625,46.25
electricity_consumption,2019-01-07,7883.083333333333,7760.958333333333,1375.4166666666667,2302.4166666666665,1041.0833333333333,1520.3333333333333,1421.9166666666667,45.541666666666664,53.291666666666664
electricity_consumption,2019-01-08,8393.25,7834.541666666667,1390.25,1004.7083333333334,1444.9166666666667,1935.25,1917.0,81.41666666666667,60.166666666666664
electricity_consumption,2019-01-09,8333.666666666666,7881.875,1373.6666666666667,797.2083333333334,1535.7916666666667,1999.9583333333333,2058.2083333333335,54.25,61.958333333333336
electricity_consumption,2019-01-10,8397.291666666666,8099.041666666667,1376.5416666666667,925.75,1615.8333333333333,1870.4166666666667,2232.3333333333335,15.083333333333334,62.25
electricity_consumption,2019-01-11,8341.166666666666,7905.25,1380.5833333333333,904.875,1386.375,1851.8333333333333,2306.6666666666665,11.583333333333334,62.5
electricity_consumption,2019-01-12,7781.25,7692.875,1387.7083333333333,863.0,1109.4166666666667,1945.8333333333333,2281.9166666666665,46.583333333333336,57.5
electricity_consumption,2019-01-13,7205.291666666667,6966.0,1390.375,393.9583333333333,1068.0833333333333,1833.3333333333333,2177.7916666666665,46.833333333333336,55.416666666666664
electricity_consumption,2019-01-14,8112.166666666667,7870.5,1369.6666666666667,1617.6666666666667,1177.9583333333333,1802.25,1785.75,58.208333333333336,57.791666666666664
electricity_consumption,2019-01-15,8197.625,7860.208333333333,1385.0,1536.2083333333333,1159.0416666666667,1850.1666666666667,1808.5416666666667,59.25,61.041666666666664
electricity_consumption,2019-01-16,8226.541666666666,7790.916666666667,1381.1666666666667,1610.25,1227.625,1767.0833333333333,1683.75,59.125,60.666666666666664
electricity_consumption,2019-01-17,8064.833333333333,6938.958333333333,1379.9583333333333,667.2083333333334,1208.0416666666667,1917.2916666666667,1588.0833333333333,118.95833333333333,58.583333333333336
electricity_consumption,2019-01-18,8001.875,6989.333333333333,1377.125,821.5416666666666,1294.0,1864.25,1452.9583333333333,114.79166666666667,63.416666666666664
electricity_consumption,2019-01-19,7648.0,6939.708333333333,1386.875,1003.0,1127.6666666666667,1790.4166666666667,1537.7916666666667,34.5,58.666666666666664
electricity_consumption,2019-01-20,7108.5,6753.458333333333,1388.3333333333333,1131.75,1004.7083333333334,1669.0,1481.9583333333333,18.75,58.208333333333336
electricity_consumption,2019-01-21,8010.458333333333,7292.75,1362.875,1136.5833333333333,1348.875,1732.5416666666667,1612.2916666666667,39.791666666666664,59.041666666666664
electricity_consumption,2019-01-22,8251.0,7248.0,1374.5416666666667,769.625,1464.2083333333333,1816.0833333333333,1733.7916666666667,29.375,59.5
electricity_consumption,2019-01-23,8159.208333333333,7589.916666666667,1378.375,1162.0833333333333,1517.5833333333333,1630.3333333333333,1805.375,37.75,57.333333333333336
electricity_consumption,2019-01-24,7903.375,7779.541666666667,1392.4166666666667,1340.75,1437.0416666666667,1712.9583333333333,1825.875,13.875,55.833333333333336
electricity_consumption,2019-01-25,8077.458333333333,7872.0,1375.5416666666667,1399.0416666666667,1446.3333333333333,1769.0,1812.7083333333333,11.666666666666666,56.75
electricity_consumption,2019-01-26,7620.416666666667,6866.708333333333,1387.875,864.125,1359.7916666666667,1404.25,1781.5,14.166666666666666,54.041666666666664
electricity_consumption,2019-01-27,6973.916666666667,6164.958333333333,1389.375,276.1666666666667,1308.5833333333333,1387.7083333333333,1671.25,77.70833333333333,53.333333333333336
electricity_consumption,2019-01-28,8033.833333333333,7605.041666666667,1370.4166666666667,1639.25,1306.7083333333333,1564.75,1619.5416666666667,48.791666666666664,54.791666666666664
electricity_consumption,2019-01-29,8047.458333333333,7743.916666666667,1381.8333333333333,973.9583333333334,1564.4166666666667,1823.5,1888.8333333333333,57.541666666666664,53.041666666666664
electricity_consumption,2019-01-30,7945.583333333333,7805.291666666667,1388.75,1145.7083333333333,1506.2083333333333,1848.2916666666667,1817.75,42.541666666666664,54.875
electricity_consumption,2019-01-31,8045.458333333333,7330.0,1376.875,488.1666666666667,1669.75,1841.4166666666667,1860.6666666666667,35.458333333333336,56.625
electricity_consumption,2019-02-01,7905.041666666667,7243.125,1379.625,500.5833333333333,1699.375,1804.6666666666667,1682.0833333333333,117.58333333333333,57.833333333333336
electricity_consumption,2019-02-02,7096.791666666667,7052.416666666667,1393.4583333333333,818.125,1504.2083333333333,1726.125,1470.4583333333333,84.125,55.25
electricity_consumption,2019-02-03,6625.166666666667,6735.0,1394.6666666666667,426.1666666666667,1836.375,1370.1666666666667,1593.1666666666667,64.04166666666667,49.291666666666664
